True Label ID,True Label Name,Predicted ID,Predicted Name,Confidence,Correct
6,neutral,6,neutral,0.8905,True
3,happy,3,happy,0.9968,True
2,fear,5,surprise,0.4763,False
6,neutral,6,neutral,0.4703,True
5,surprise,5,surprise,0.9731,True
0,angry,6,neutral,0.7778,False
2,fear,4,sad,0.392,False
6,neutral,6,neutral,0.7624,True
4,sad,4,sad,0.8545,True
4,sad,4,sad,0.3275,True
3,happy,3,happy,0.9993,True
3,happy,3,happy,0.9993,True
0,angry,5,surprise,0.2774,False
6,neutral,6,neutral,0.7903,True
5,surprise,2,fear,0.4532,False
6,neutral,6,neutral,0.6339,True
3,happy,3,happy,0.9927,True
2,fear,2,fear,0.609,True
3,happy,3,happy,0.9981,True
0,angry,4,sad,0.6464,False
6,neutral,4,sad,0.4265,False
3,happy,6,neutral,0.7643,False
3,happy,3,happy,0.8448,True
3,happy,3,happy,0.9773,True
1,disgust,2,fear,0.3845,False
2,fear,0,angry,0.616,False
3,happy,3,happy,0.9991,True
2,fear,2,fear,0.4807,True
4,sad,4,sad,0.4183,True
3,happy,3,happy,0.7334,True
5,surprise,5,surprise,0.9614,True
5,surprise,5,surprise,0.9291,True
6,neutral,0,angry,0.6913,False
6,neutral,6,neutral,0.5336,True
0,angry,4,sad,0.7001,False
5,surprise,2,fear,0.3434,False
4,sad,6,neutral,0.703,False
0,angry,0,angry,0.4646,True
1,disgust,3,happy,0.7407,False
3,happy,3,happy,0.9431,True
3,happy,3,happy,0.7563,True
2,fear,4,sad,0.6235,False
6,neutral,6,neutral,0.8263,True
5,surprise,5,surprise,0.4706,True
0,angry,0,angry,0.3819,True
6,neutral,6,neutral,0.9167,True
6,neutral,6,neutral,0.4406,True
6,neutral,6,neutral,0.6322,True
2,fear,6,neutral,0.3931,False
6,neutral,6,neutral,0.7934,True
3,happy,3,happy,0.9998,True
4,sad,4,sad,0.8031,True
3,happy,3,happy,0.9981,True
4,sad,4,sad,0.7291,True
0,angry,0,angry,0.7325,True
0,angry,4,sad,0.5688,False
6,neutral,6,neutral,0.4268,True
6,neutral,4,sad,0.716,False
5,surprise,3,happy,0.6454,False
5,surprise,5,surprise,0.5498,True
3,happy,0,angry,0.4672,False
4,sad,4,sad,0.4856,True
0,angry,0,angry,0.5112,True
3,happy,4,sad,0.4135,False
4,sad,6,neutral,0.6683,False
4,sad,3,happy,0.5737,False
4,sad,4,sad,0.609,True
4,sad,4,sad,0.7565,True
6,neutral,2,fear,0.3779,False
4,sad,3,happy,0.532,False
2,fear,6,neutral,0.3601,False
6,neutral,4,sad,0.6602,False
6,neutral,6,neutral,0.8963,True
0,angry,2,fear,0.3596,False
6,neutral,6,neutral,0.6903,True
0,angry,4,sad,0.6696,False
5,surprise,5,surprise,0.8824,True
5,surprise,6,neutral,0.5217,False
4,sad,6,neutral,0.4931,False
3,happy,3,happy,0.9746,True
6,neutral,6,neutral,0.9806,True
4,sad,4,sad,0.5948,True
4,sad,3,happy,0.7494,False
6,neutral,0,angry,0.4047,False
3,happy,3,happy,0.969,True
5,surprise,5,surprise,0.6523,True
4,sad,4,sad,0.8729,True
0,angry,4,sad,0.6635,False
6,neutral,4,sad,0.3644,False
3,happy,0,angry,0.3451,False
4,sad,6,neutral,0.323,False
5,surprise,5,surprise,0.6521,True
4,sad,6,neutral,0.4466,False
6,neutral,6,neutral,0.8889,True
0,angry,0,angry,0.7466,True
6,neutral,6,neutral,0.5246,True
5,surprise,0,angry,0.3552,False
4,sad,4,sad,0.4903,True
3,happy,3,happy,0.9982,True
0,angry,0,angry,0.4436,True
3,happy,6,neutral,0.6324,False
4,sad,4,sad,0.6176,True
3,happy,3,happy,0.9901,True
4,sad,4,sad,0.6039,True
2,fear,2,fear,0.4534,True
6,neutral,6,neutral,0.7104,True
4,sad,4,sad,0.3265,True
3,happy,3,happy,0.9627,True
5,surprise,5,surprise,0.5882,True
3,happy,3,happy,0.9389,True
2,fear,4,sad,0.5041,False
2,fear,5,surprise,0.9149,False
4,sad,0,angry,0.5257,False
2,fear,2,fear,0.7333,True
3,happy,3,happy,0.999,True
2,fear,6,neutral,0.4736,False
3,happy,3,happy,0.9977,True
4,sad,6,neutral,0.3621,False
0,angry,6,neutral,0.9749,False
3,happy,2,fear,0.2302,False
2,fear,2,fear,0.4751,True
3,happy,3,happy,0.997,True
3,happy,3,happy,0.9867,True
2,fear,3,happy,0.4837,False
0,angry,4,sad,0.5989,False
0,angry,0,angry,0.3402,True
0,angry,4,sad,0.5234,False
4,sad,0,angry,0.5443,False
3,happy,3,happy,0.9998,True
3,happy,3,happy,0.9034,True
3,happy,3,happy,0.4313,True
3,happy,3,happy,0.9354,True
2,fear,4,sad,0.5085,False
2,fear,4,sad,0.5304,False
4,sad,4,sad,0.3455,True
6,neutral,3,happy,0.3273,False
3,happy,3,happy,0.9173,True
5,surprise,5,surprise,0.6431,True
4,sad,6,neutral,0.2655,False
6,neutral,6,neutral,0.8561,True
3,happy,3,happy,0.9984,True
3,happy,3,happy,0.9941,True
4,sad,0,angry,0.3756,False
2,fear,2,fear,0.5154,True
6,neutral,6,neutral,0.6901,True
2,fear,2,fear,0.4919,True
2,fear,4,sad,0.5403,False
5,surprise,5,surprise,0.9223,True
0,angry,6,neutral,0.6664,False
5,surprise,5,surprise,0.9223,True
5,surprise,5,surprise,0.6443,True
2,fear,0,angry,0.3254,False
4,sad,4,sad,0.7157,True
5,surprise,4,sad,0.248,False
4,sad,4,sad,0.5631,True
4,sad,6,neutral,0.4732,False
0,angry,6,neutral,0.883,False
2,fear,5,surprise,0.7627,False
6,neutral,4,sad,0.2724,False
3,happy,3,happy,0.9993,True
0,angry,0,angry,0.4755,True
2,fear,6,neutral,0.9041,False
6,neutral,6,neutral,0.615,True
6,neutral,2,fear,0.407,False
0,angry,3,happy,0.7166,False
3,happy,3,happy,0.9998,True
